00_00_0#1_29_29	(3591)
00_00_142#3_1_1	(2232)
00_00_142#4_23_23	(election)
00_00_142#4_18_18	(vote)
00_00_142#4_13_13	(105)
00_00_142#4_8_8	(2438)
00_00_142#5_18_18	(3843)
00_00_142#6_21_21	(1815)
00_00_142#6_17_17	(4074)
00_00_142#6_5_5	(1366)
00_00_142#6_3_3	(3815)
00_00_142#7_12_12	(1180)
00_00_142#7_6_6	(election)
00_00_142#7_4_4	(1462)
00_00_142#8_37_37	(776)
00_00_142#8_32_32	(4129)
00_00_142#8_26_26	(964)
00_00_142#8_14_14	(571)
00_00_142#8_10_10	(2794)
00_00_142#9_18_18	(1151)
00_00_142#9_10_10	(261)
00_00_142#10_2_2	(2232)
00_00_142#11_34_34	(866)
00_00_142#11_24_24	(4160)
00_00_142#11_4_4	(2599)
00_00_142#12_9_9	(4163)
00_00_142#12_7_7	(3498)
00_00_142#13_23_23	(1619)
00_00_142#13_19_19	(1737)
00_00_142#13_6_6	(election)
00_00_142#13_3_3	(2717)
00_00_142#14_11_11	(2377)
00_00_142#14_7_7	(election)
00_00_142#15_13_13	(988)
00_00_142#15_9_9	(2444)
00_00_142#16_6_6	(295)
00_00_142#16_2_2	(election)
00_00_142#17_18_18	(822)
00_00_142#17_3_3	(2159)
00_00_142#18_25_25	(election)
00_00_142#18_7_7	(2232)
00_00_142#18_5_5	(2821)
00_00_142#19_33_33	(3974)
00_00_142#19_21_21	(2368)
00_00_142#19_12_12	(236)
00_00_142#19_6_6	(578)
00_00_143#1_42_42	(1815)
00_00_143#1_34_34	(protest)
00_00_143#1_20_20	(80)
00_00_143#1_11_11	(576)
00_00_143#2_4_4	(324)
00_00_143#3_23_23	(1815)
00_00_143#3_22_22	(1461)
00_00_143#3_7_7	(protest)
00_00_143#3_5_5	(772)
00_00_143#4_16_16	(2693)
00_00_143#4_14_14	(4068)
00_00_143#6_27_27	(576)
00_00_143#6_17_17	(330)
00_00_143#6_12_12	(1398)
00_00_143#6_11_11	(1599)
00_00_143#7_15_15	(1209)
00_00_143#7_7_7	(1596)
00_00_143#8_6_6	(4214)
00_00_143#9_9_9	(3649)
00_00_143#9_4_4	(1307)
00_00_143#10_37_37	(2718)
00_00_143#10_36_36	(236)
00_00_143#10_33_33	(782)
00_00_143#10_31_31	(424)
00_00_143#10_19_19	(2876)
00_00_143#10_13_13	(1993)
00_00_143#10_9_9	(2484)
00_00_143#11_21_21	(236)
00_00_143#11_19_19	(1986)
00_00_143#11_15_15	(962)
00_00_143#11_10_10	(852)
00_00_143#12_24_24	(1667)
00_00_143#14_13_13	(3008)
00_00_143#14_11_11	(853)
00_00_143#15_15_15	(762)
00_00_143#15_4_4	(-1)
00_00_143#16_13_13	(3008)
00_00_143#16_4_4	(962)
00_00_143#17_10_10	(4538)
00_00_143#17_5_5	(1352)
00_00_143#18_30_30	(651)
00_00_143#18_25_25	(651)
00_00_143#18_19_19	(3019)
00_00_143#18_4_4	(1103)
00_00_143#18_2_2	(-1)
00_00_144#1_32_32	(576)
00_00_144#1_21_21	(1596)
00_00_144#1_13_13	(394)
00_00_144#2_16_16	(-1)
00_00_144#2_8_8	(330)
00_00_144#2_5_5	(2043)
00_00_144#2_3_3	(1145)
00_00_144#5_8_8	(3013)
00_00_144#5_3_3	(-1)
00_00_144#5_1_1	(2800)
00_00_144#6_33_33	(3629)
00_00_144#6_29_29	(1641)
00_00_144#6_18_18	(1366)
00_00_144#6_16_16	(election)
00_00_144#6_11_11	(1718)
00_00_144#6_8_8	(962)
00_00_144#7_20_20	(3272)
00_00_144#7_17_17	(1398)
00_00_144#7_16_16	(1599)
00_00_144#7_7_7	(885)
00_00_144#8_38_38	(330)
00_00_144#8_12_12	(1599)
00_00_144#8_10_10	(1392)
00_00_144#8_9_9	(885)
00_00_144#9_22_22	(3474)
00_00_144#9_18_18	(2112)
00_00_144#9_14_14	(1596)
00_00_144#9_1_1	(1307)
00_00_144#10_37_37	(1596)
00_00_144#10_16_16	(330)
00_00_144#10_6_6	(2113)
00_00_144#12_17_17	(2925)
00_00_144#12_9_9	(886)
00_00_144#13_13_13	(330)
00_00_144#13_3_3	(1779)
00_00_144#14_11_11	(1209)
00_00_145#1_15_15	(1599)
00_00_145#1_7_7	(3058)
00_00_145#2_83_83	(4088)
00_00_145#2_69_69	(783)
00_00_145#2_65_65	(576)
00_00_145#2_38_38	(1383)
00_00_145#2_27_27	(394)
00_00_145#2_11_11	(2852)
00_00_145#3_15_15	(3378)
00_00_145#3_10_10	(330)
00_00_145#3_8_8	(2974)
00_00_145#4_23_23	(-1)
00_00_145#4_12_12	(-1)
00_00_145#5_26_26	(2973)
00_00_145#5_24_24	(3295)
00_00_145#5_18_18	(-1)
00_00_145#5_10_10	(1209)
00_00_145#5_3_3	(3243)
00_00_145#6_3_3	(772)
00_00_145#7_9_9	(3295)
00_00_145#7_3_3	(-1)
00_00_145#8_8_8	(1599)
00_00_145#9_2_2	(791)
00_00_145#11_3_3	(2517)
00_00_145#12_36_36	(784)
00_00_145#12_34_34	(4666)
00_00_145#12_32_32	(4608)
00_00_145#12_19_19	(2334)
00_00_145#12_18_18	(4665)
00_00_145#12_16_16	(772)
00_00_145#12_8_8	(177)
00_00_145#13_7_7	(2338)
00_00_145#14_24_24	(394)
00_00_145#14_8_8	(-1)
00_00_145#16_17_17	(1599)
00_00_145#16_7_7	(487)
00_00_145#16_5_5	(1139)
00_00_145#16_3_3	(2024)
00_00_145#17_10_10	(1489)
00_00_145#18_26_26	(1095)
00_00_145#18_21_21	(1151)
00_00_145#18_14_14	(-1)
00_00_145#18_5_5	(1736)
00_00_145#19_8_8	(1839)
00_00_146#1_29_29	(war)
00_00_146#1_25_25	(3156)
00_00_146#1_22_22	(protest)
00_00_146#1_11_11	(vote)
00_00_146#1_6_6	(236)
00_00_146#2_29_29	(2174)
00_00_146#2_23_23	(vote)
00_00_146#2_18_18	(win)
00_00_146#2_3_3	(2717)
00_00_146#2_2_2	(vote)
00_00_146#3_26_26	(457)
00_00_146#3_18_18	(election)
00_00_146#3_15_15	(1458)
00_00_146#3_12_12	(3070)
00_00_146#3_5_5	(250)
00_00_146#3_2_2	(1251)
00_00_146#4_9_9	(2706)
00_00_146#5_16_16	(283)
00_00_146#5_14_14	(3456)
00_00_146#5_8_8	(571)
00_00_146#5_2_2	(1103)
00_00_147#1_39_39	(war)
00_00_147#1_21_21	(3679)
00_00_147#1_16_16	(1485)
00_00_147#1_9_9	(1251)
00_00_147#1_8_8	(236)
00_00_147#1_1_1	(war)
00_00_147#2_41_41	(war)
00_00_147#2_7_7	(570)
00_00_147#2_0_0	(524)
00_00_147#4_33_33	(330)
00_00_147#4_20_20	(1596)
00_00_147#4_9_9	(330)
00_00_147#4_2_2	(1029)
00_00_147#6_8_8	(1599)
00_00_147#8_21_21	(vote)
00_00_147#8_6_6	(vote)
00_00_147#8_1_1	(289)
00_00_147#11_18_18	(vote)
00_00_147#11_13_13	(2934)
00_00_147#11_11_11	(4132)
00_00_147#12_40_40	(356)
00_00_147#12_37_37	(1730)
00_00_147#12_29_29	(vote)
00_00_147#12_24_24	(3302)
00_00_147#12_22_22	(1532)
00_00_147#12_2_2	(1531)
00_00_147#13_15_15	(1413)
00_00_147#13_13_13	(1525)
00_00_147#13_7_7	(236)
00_00_147#14_24_24	(3044)
00_00_147#14_2_2	(1689)
00_00_148#1_26_26	(4130)
00_00_148#1_12_12	(1682)
00_00_148#1_2_2	(4588)
00_00_148#2_7_7	(576)
00_00_148#3_17_17	(-1)
00_00_148#3_11_11	(1147)
00_00_148#3_7_7	(2693)
00_00_148#3_2_2	(4193)
00_00_148#4_16_16	(1103)
00_00_148#6_4_4	(4544)
00_00_148#6_1_1	(election)
00_00_148#7_30_30	(1619)
00_00_148#7_26_26	(1737)
00_00_148#7_14_14	(election)
00_00_148#8_19_19	(4056)
00_00_148#8_9_9	(2039)
00_00_148#9_5_5	(election)
00_00_148#9_2_2	(-1)
00_00_148#11_12_12	(4418)
00_00_148#11_5_5	(1555)
00_00_148#12_28_28	(2377)
00_00_148#12_15_15	(election)
00_00_148#13_11_11	(995)
00_00_148#13_7_7	(2444)
00_00_149#1_11_11	(election)
00_00_149#2_25_25	(570)
00_00_149#2_15_15	(1779)
00_00_149#2_5_5	(2166)
00_00_149#5_27_27	(vote)
00_00_149#5_18_18	(236)
00_00_149#5_16_16	(election)
00_00_149#5_10_10	(1979)
00_00_149#6_21_21	(war)
00_00_149#6_19_19	(3758)
00_00_149#6_9_9	(3097)
00_00_149#6_5_5	(250)
00_00_149#6_2_2	(1251)
00_00_149#7_29_29	(war)
00_00_149#7_19_19	(4215)
00_00_149#7_15_15	(3019)
00_00_15#1_20_20	(131)
00_00_15#1_17_17	(1625)
00_00_15#1_15_15	(-1)
00_00_15#1_7_7	(3411)
00_00_15#2_23_23	(132)
00_00_15#3_17_17	(731)
00_00_15#3_2_2	(3608)
00_00_15#4_14_14	(571)
00_00_15#4_4_4	(2055)
00_00_15#6_37_37	(2578)
00_00_15#6_32_32	(3014)
00_00_15#6_17_17	(2271)
00_00_15#6_6_6	(election)
00_00_15#6_3_3	(-1)
00_00_15#7_26_26	(4465)
00_00_15#7_12_12	(962)
00_00_15#7_5_5	(1145)
00_00_15#8_25_25	(2625)
00_00_15#8_21_21	(4467)
00_00_15#8_7_7	(war)
00_00_15#8_2_2	(-1)
00_00_15#9_43_43	(3817)
00_00_15#9_38_38	(3297)
00_00_15#9_31_31	(-1)
00_00_15#9_29_29	(964)
00_00_15#9_26_26	(2223)
00_00_15#9_2_2	(-1)
00_00_15#10_26_26	(-1)
00_00_15#10_11_11	(4078)
00_00_15#10_4_4	(war)
00_00_15#10_2_2	(389)
00_00_150#1_6_6	(295)
00_00_150#1_2_2	(election)
00_00_150#2_36_36	(1057)
00_00_150#2_22_22	(vote)
00_00_150#2_19_19	(vote)
00_00_150#2_7_7	(2096)
00_00_150#2_3_3	(75)
00_00_150#3_21_21	(1758)
00_00_150#3_8_8	(1689)
00_00_150#4_26_26	(1689)
00_00_150#4_8_8	(261)
00_00_150#5_32_32	(3255)
00_00_150#6_45_45	(2563)
00_00_150#6_43_43	(3891)
00_00_150#6_39_39	(2419)
00_00_150#6_38_38	(3103)
00_00_150#6_31_31	(2587)
00_00_150#6_25_25	(2538)
00_00_150#6_24_24	(248)
00_00_150#6_23_23	(vote)
00_00_150#6_8_8	(4667)
00_00_150#6_5_5	(win)
00_00_150#7_21_21	(war)
00_00_150#7_16_16	(2665)
00_00_150#7_11_11	(1952)
00_00_150#7_4_4	(565)
00_00_150#8_18_18	(2065)
00_00_150#8_16_16	(3154)
00_00_150#8_6_6	(election)
00_00_150#9_3_3	(1689)
00_00_150#10_17_17	(964)
00_00_150#10_9_9	(718)
00_00_150#11_2_2	(3165)
00_00_150#12_26_26	(war)
00_00_150#12_17_17	(833)
00_00_150#13_8_8	(-1)
00_00_150#13_1_1	(488)
00_00_150#15_12_12	(protest)
00_00_150#16_4_4	(3036)
00_00_150#17_17_17	(protest)
00_00_150#17_15_15	(1453)
00_00_150#17_8_8	(1368)
00_00_151#2_16_16	(259)
00_00_151#2_9_9	(1719)
00_00_151#2_8_8	(224)
00_00_151#2_6_6	(protest)
00_00_151#3_31_31	(2926)
00_00_151#3_29_29	(554)
00_00_151#3_11_11	(2096)
00_00_151#3_5_5	(election)
00_00_151#4_24_24	(3958)
00_00_151#4_20_20	(226)
00_00_151#4_18_18	(election)
00_00_151#4_10_10	(2338)
00_00_151#4_7_7	(3869)
00_00_151#5_23_23	(1198)
00_00_151#5_16_16	(1820)
00_00_151#5_11_11	(election)
00_00_151#6_46_46	(610)
00_00_151#6_41_41	(2122)
00_00_151#6_31_31	(1829)
00_00_151#6_20_20	(election)
00_00_151#7_28_28	(958)
00_00_151#7_23_23	(3543)
00_00_151#7_13_13	(1531)
00_00_151#7_5_5	(4120)
00_00_151#8_13_13	(866)
00_00_151#8_6_6	(1764)
00_00_152#1_29_29	(1737)
00_00_152#1_25_25	(1951)
00_00_152#1_17_17	(250)
00_00_152#1_15_15	(911)
00_00_152#1_8_8	(win)
00_00_152#1_1_1	(457)
00_00_152#2_0_0	(vote)
00_00_152#3_10_10	(vote)
00_00_152#3_1_1	(win)
00_00_152#4_20_20	(war)
00_00_152#4_9_9	(-1)
00_00_152#4_5_5	(win)
00_00_152#5_13_13	(999)
00_00_152#6_43_43	(178)
00_00_152#6_42_42	(2335)
00_00_152#6_29_29	(785)
00_00_152#6_8_8	(330)
00_00_152#7_24_24	(776)
00_00_152#7_17_17	(1830)
00_00_152#7_11_11	(964)
00_00_152#8_26_26	(-1)
00_00_152#8_15_15	(573)
00_00_152#8_13_13	(2615)
00_00_152#8_11_11	(war)
00_00_152#8_3_3	(3475)
00_00_152#10_47_47	(-1)
00_00_152#10_44_44	(-1)
00_00_152#10_42_42	(1526)
00_00_152#10_15_15	(1764)
00_00_152#10_2_2	(794)
00_00_152#11_25_25	(-1)
00_00_152#11_20_20	(1949)
00_00_152#11_16_16	(574)
00_00_152#11_2_2	(2803)
00_00_152#12_21_21	(2374)
00_00_152#12_5_5	(2245)
00_00_152#12_3_3	(-1)
00_00_152#13_9_9	(792)
00_00_152#14_6_6	(1748)
00_00_152#15_41_41	(2336)
00_00_152#15_23_23	(2221)
00_00_152#15_19_19	(4218)
00_00_152#15_14_14	(999)
00_00_153#1_22_22	(3405)
00_00_153#1_14_14	(3309)
00_00_153#1_7_7	(2317)
00_00_153#1_5_5	(930)
00_00_153#2_20_20	(3074)
00_00_153#2_10_10	(-1)
00_00_153#2_7_7	(797)
00_00_153#3_8_8	(1099)
00_00_153#3_4_4	(2853)
00_00_153#4_13_13	(-1)
00_00_153#4_7_7	(958)
00_00_153#4_2_2	(2575)
00_00_153#5_35_35	(-1)
00_00_153#5_19_19	(1815)
00_00_153#5_15_15	(-1)
00_00_153#5_4_4	(protest)
00_00_153#6_19_19	(3546)
00_00_153#6_6_6	(3193)
00_00_153#7_36_36	(2938)
00_00_153#7_27_27	(-1)
00_00_153#7_16_16	(3348)
00_00_153#7_13_13	(3103)
00_00_153#7_4_4	(3831)
00_00_153#8_43_43	(999)
00_00_153#8_38_38	(2927)
00_00_153#8_34_34	(-1)
00_00_153#8_29_29	(election)
00_00_153#8_9_9	(4030)
00_00_153#8_5_5	(2659)
00_00_153#8_3_3	(3534)
00_00_153#9_18_18	(election)
00_00_153#9_7_7	(4072)
00_00_153#10_18_18	(3237)
00_00_153#11_31_31	(1952)
00_00_153#12_20_20	(2428)
00_00_153#12_17_17	(3010)
00_00_153#12_14_14	(3103)
00_00_154#1_23_23	(win)
00_00_154#1_10_10	(1487)
00_00_154#1_3_3	(3304)
00_00_154#2_0_0	(4018)
00_00_154#3_34_34	(win)
00_00_154#3_33_33	(election)
00_00_154#3_18_18	(3174)
00_00_154#3_14_14	(vote)
00_00_154#4_19_19	(election)
00_00_154#4_14_14	(-1)
00_00_154#4_7_7	(4669)
00_00_154#4_4_4	(-1)
00_00_154#5_28_28	(866)
00_00_154#5_6_6	(2404)
00_00_154#6_25_25	(vote)
00_00_154#7_18_18	(179)
00_00_154#7_13_13	(vote)
00_00_154#7_3_3	(-1)
00_00_154#8_22_22	(1487)
00_00_154#8_15_15	(vote)
00_00_154#8_10_10	(win)
00_00_154#9_51_51	(36)
00_00_154#9_38_38	(protest)
00_00_154#9_31_31	(2792)
00_00_154#9_15_15	(3242)
00_00_154#9_4_4	(election)
00_00_154#10_30_30	(3426)
00_00_154#10_27_27	(2944)
00_00_154#10_22_22	(3348)
00_00_154#12_12_12	(576)
00_00_154#13_17_17	(vote)
00_00_154#13_8_8	(425)
00_00_154#13_3_3	(3712)
00_00_154#13_0_0	(election)
00_00_154#14_13_13	(-1)
00_00_154#14_8_8	(838)
00_00_154#14_2_2	(236)
00_00_154#15_30_30	(866)
00_00_154#15_19_19	(330)
00_00_154#15_17_17	(912)
00_00_154#16_35_35	(1074)
00_00_154#16_33_33	(election)
00_00_154#16_15_15	(1487)
00_00_154#16_12_12	(236)
00_00_154#16_9_9	(-1)
00_00_154#16_6_6	(1119)
00_00_154#17_34_34	(571)
00_00_154#17_26_26	(1150)
00_00_154#17_20_20	(3211)
00_00_154#17_16_16	(1706)
00_00_154#17_8_8	(war)
00_00_154#17_2_2	(win)
00_00_154#19_20_20	(election)
00_00_154#19_19_19	(-1)
00_00_154#19_16_16	(vote)
00_00_154#19_9_9	(105)
00_00_154#20_16_16	(1487)
00_00_154#20_5_5	(2652)
00_00_154#21_10_10	(1815)
00_00_154#21_6_6	(3868)
00_00_154#21_4_4	(election)
00_00_16#1_22_22	(3593)
00_00_16#1_20_20	(1519)
00_00_16#1_14_14	(571)
00_00_16#1_12_12	(1113)
00_00_16#1_7_7	(652)
00_00_16#2_27_27	(571)
00_00_16#2_23_23	(3772)
00_00_16#2_10_10	(4469)
00_00_16#2_1_1	(810)
00_00_16#3_40_40	(war)
00_00_16#3_37_37	(1390)
00_00_16#3_22_22	(1373)
00_00_16#3_17_17	(3562)
00_00_16#3_14_14	(2262)
00_00_16#4_14_14	(2262)
00_00_16#4_6_6	(571)
00_00_16#4_3_3	(1929)
00_00_16#5_27_27	(2743)
00_00_16#6_32_32	(3081)
00_00_16#6_13_13	(war)
00_00_16#6_10_10	(2919)
00_00_16#7_46_46	(3472)
00_00_16#7_27_27	(3744)
00_00_16#7_23_23	(election)
00_00_16#7_12_12	(571)
00_00_16#7_4_4	(1816)
00_00_16#8_4_4	(2971)
00_00_16#9_10_10	(3330)
00_00_17#1_22_22	(2592)
00_00_17#1_18_18	(election)
00_00_17#1_7_7	(election)
00_00_17#2_4_4	(-1)
00_00_17#3_28_28	(vote)
00_00_17#3_15_15	(236)
00_00_17#3_7_7	(vote)
00_00_17#4_7_7	(380)
00_00_17#5_28_28	(4079)
00_00_17#5_23_23	(3532)
00_00_17#5_18_18	(vote)
00_00_17#5_11_11	(3211)
00_00_17#5_9_9	(-1)
00_00_17#5_4_4	(election)
00_00_17#6_1_1	(election)
00_00_17#7_9_9	(1438)
00_00_17#8_5_5	(1189)
00_00_17#9_27_27	(3818)
00_00_17#9_12_12	(vote)
00_00_17#9_6_6	(1815)
00_00_17#11_38_38	(4081)
00_00_17#11_37_37	(vote)
00_00_17#11_36_36	(4471)
00_00_17#11_34_34	(3217)
00_00_17#11_25_25	(election)
00_00_17#11_17_17	(vote)
00_00_17#11_15_15	(protest)
00_00_17#11_10_10	(133)
00_00_17#12_34_34	(vote)
00_00_17#12_5_5	(1604)
00_00_17#13_13_13	(295)
00_00_17#13_6_6	(610)
00_00_17#13_5_5	(vote)
00_00_17#14_14_14	(-1)
00_00_18#1_15_15	(840)
00_00_18#1_12_12	(1151)
00_00_18#1_8_8	(war)
00_00_18#2_28_28	(vote)
00_00_18#2_11_11	(4473)
00_00_18#2_4_4	(war)
00_00_18#4_2_2	(735)
00_00_18#5_16_16	(vote)
00_00_18#5_14_14	(3618)
00_00_18#6_50_50	(vote)
00_00_18#6_47_47	(-1)
00_00_18#6_43_43	(2855)
00_00_18#6_32_32	(4475)
00_00_18#6_27_27	(election)
00_00_18#6_21_21	(vote)
00_00_18#6_19_19	(3931)
00_00_18#7_11_11	(vote)
00_00_18#7_9_9	(1045)
00_00_18#8_15_15	(election)
00_00_18#8_13_13	(-1)
00_00_18#8_7_7	(3956)
00_00_18#9_25_25	(610)
00_00_18#9_6_6	(3749)
00_00_18#10_20_20	(vote)
00_00_18#10_3_3	(2379)
00_00_18#11_10_10	(3206)
00_00_18#12_14_14	(2730)
00_00_18#12_11_11	(4477)
00_00_18#12_8_8	(election)
00_00_18#13_9_9	(1797)
00_00_18#14_30_30	(2984)
00_00_18#14_22_22	(3822)
00_00_18#14_19_19	(vote)
00_00_18#15_22_22	(win)
00_00_18#15_16_16	(3259)
00_00_18#15_11_11	(3334)
00_00_18#16_11_11	(-1)
00_00_18#16_7_7	(1343)
00_00_18#16_5_5	(vote)
00_00_18#17_11_11	(1975)
00_00_18#17_6_6	(3061)
00_00_19#1_3_3	(election)
00_00_19#1_0_0	(927)
00_00_19#2_9_9	(2094)
00_00_19#3_38_38	(4479)
00_00_19#3_33_33	(4464)
00_00_19#3_10_10	(-1)
00_00_19#4_16_16	(protest)
00_00_19#5_18_18	(4481)
00_00_19#5_4_4	(3342)
00_00_19#5_2_2	(80)
00_00_19#5_0_0	(2811)
00_00_19#6_34_34	(2100)
00_00_19#6_28_28	(985)
00_00_19#6_24_24	(3609)
00_00_19#6_20_20	(4084)
00_00_19#7_24_24	(4336)
00_00_19#7_6_6	(4085)
00_00_19#8_8_8	(4344)
00_00_19#9_23_23	(1719)
00_00_19#9_13_13	(-1)
00_00_19#10_33_33	(4091)
00_00_19#10_31_31	(-1)
00_00_19#10_23_23	(2924)
00_00_19#10_16_16	(-1)
00_00_19#10_6_6	(4089)
00_00_19#11_10_10	(3961)
00_00_19#11_6_6	(3545)
00_00_19#13_17_17	(2384)
00_00_19#14_17_17	(3161)
00_00_19#14_16_16	(vote)
00_00_19#14_13_13	(1402)
00_00_19#14_7_7	(3083)
00_00_19#14_3_3	(3790)
00_00_19#17_4_4	(election)
00_00_19#18_43_43	(vote)
00_00_19#18_42_42	(3162)
00_00_19#19_29_29	(2277)
00_00_19#19_8_8	(1820)
00_00_19#20_12_12	(3278)
00_00_2#1_12_12	(610)
00_00_2#2_20_20	(vote)
00_00_2#2_14_14	(2030)
00_00_2#2_12_12	(1368)
00_00_2#2_2_2	(1110)
00_00_2#3_22_22	(2306)
00_00_2#3_17_17	(2436)
00_00_2#3_15_15	(election)
00_00_2#3_4_4	(295)
00_00_2#4_35_35	(vote)
00_00_2#4_21_21	(295)
00_00_2#4_12_12	(1110)
00_00_2#4_8_8	(vote)
00_00_2#4_6_6	(election)
00_00_2#4_4_4	(3598)
00_00_2#5_16_16	(866)
00_00_2#5_13_13	(3599)
00_00_2#6_16_16	(578)
00_00_2#7_40_40	(3318)
00_00_2#7_10_10	(war)
00_00_2#7_3_3	(1682)
00_00_2#8_8_8	(2588)
00_00_2#9_15_15	(464)
00_00_2#9_10_10	(2501)
00_00_2#9_0_0	(526)
00_00_2#10_4_4	(1489)
00_00_2#11_41_41	(330)
00_00_2#11_27_27	(1599)
00_00_2#11_23_23	(394)
00_00_2#11_14_14	(962)
00_00_2#11_1_1	(3013)
00_00_20#1_24_24	(election)
00_00_20#1_16_16	(295)
00_00_20#1_15_15	(718)
00_00_20#2_3_3	(4093)
00_00_20#3_14_14	(2306)
00_00_20#3_3_3	(2436)
00_00_20#4_23_23	(4092)
00_00_20#4_2_2	(1886)
00_00_20#5_6_6	(3036)
00_00_20#5_4_4	(vote)
00_00_20#5_2_2	(2030)
00_00_20#6_36_36	(2875)
00_00_20#6_33_33	(2530)
00_00_20#6_30_30	(vote)
00_00_20#6_26_26	(1045)
00_00_20#6_15_15	(-1)
00_00_20#6_14_14	(election)
00_00_20#6_9_9	(610)
00_00_20#6_1_1	(2754)
00_00_20#7_29_29	(295)
00_00_20#7_9_9	(1110)
00_00_20#8_24_24	(2876)
00_00_20#8_22_22	(964)
00_00_20#8_18_18	(896)
00_00_20#8_13_13	(4483)
00_00_20#8_6_6	(4076)
00_00_20#9_33_33	(win)
00_00_20#9_31_31	(2873)
00_00_20#9_22_22	(3486)
00_00_20#9_19_19	(1340)
00_00_20#9_5_5	(866)
00_00_21#1_34_34	(3619)
00_00_21#1_32_32	(4094)
00_00_21#1_28_28	(3610)
00_00_21#1_26_26	(1651)
00_00_21#1_18_18	(2641)
00_00_21#1_10_10	(2115)
00_00_21#1_1_1	(election)
00_00_21#2_10_10	(866)
00_00_21#2_7_7	(3811)
00_00_21#2_2_2	(3623)
00_00_21#3_66_66	(-1)
00_00_21#3_60_60	(1673)
00_00_21#3_57_57	(2543)
00_00_21#3_42_42	(-1)
00_00_21#3_40_40	(4097)
00_00_21#3_38_38	(3765)
00_00_21#3_31_31	(1045)
00_00_21#3_30_30	(134)
00_00_21#3_27_27	(295)
00_00_21#3_19_19	(4320)
00_00_21#3_17_17	(vote)
00_00_21#3_16_16	(1045)
00_00_21#3_8_8	(war)
00_00_21#3_5_5	(2494)
00_00_21#4_54_54	(135)
00_00_21#4_40_40	(4100)
00_00_21#4_36_36	(1148)
00_00_21#4_27_27	(3793)
00_00_21#4_14_14	(vote)
00_00_21#4_4_4	(295)
00_00_21#5_58_58	(294)
00_00_21#5_56_56	(war)
00_00_21#5_46_46	(-1)
00_00_21#5_44_44	(3103)
00_00_21#5_23_23	(2503)
00_00_21#6_29_29	(election)
00_00_21#6_20_20	(election)
00_00_21#6_3_3	(1463)
00_00_21#7_13_13	(-1)
00_00_22#1_2_2	(1086)
00_00_22#2_7_7	(election)
00_00_22#3_26_26	(2553)
00_00_22#3_20_20	(3344)
00_00_22#3_15_15	(-1)
00_00_22#3_13_13	(110)
00_00_22#3_7_7	(2940)
00_00_22#3_5_5	(1036)
00_00_22#4_14_14	(-1)
00_00_22#4_3_3	(-1)
00_00_22#5_31_31	(vote)
00_00_22#5_28_28	(1045)
00_00_22#5_25_25	(1820)
00_00_22#5_22_22	(-1)
00_00_22#5_20_20	(2754)
00_00_22#5_18_18	(342)
00_00_22#5_14_14	(1285)
00_00_22#6_26_26	(2207)
00_00_22#6_21_21	(election)
00_00_22#6_12_12	(1849)
00_00_22#6_10_10	(466)
00_00_22#6_7_7	(election)
00_00_22#6_5_5	(-1)
00_00_22#7_19_19	(4485)
00_00_22#7_3_3	(295)
00_00_22#8_40_40	(3624)
00_00_22#8_36_36	(2428)
00_00_22#8_19_19	(1886)
00_00_22#9_20_20	(3344)
00_00_22#9_18_18	(682)
00_00_22#9_12_12	(2519)
00_00_22#10_7_7	(vote)
00_00_22#11_14_14	(vote)
00_00_22#11_8_8	(660)
00_00_22#12_26_26	(vote)
00_00_22#12_18_18	(2496)
00_00_22#12_12_12	(vote)
00_00_22#12_4_4	(election)
00_00_22#13_12_12	(2911)
00_00_22#13_4_4	(3801)
00_00_23#1_34_34	(808)
00_00_23#1_24_24	(2541)
00_00_23#1_12_12	(295)
00_00_23#2_15_15	(661)
00_00_23#2_4_4	(295)
00_00_23#2_2_2	(718)
00_00_23#3_34_34	(1424)
00_00_23#3_5_5	(808)
00_00_23#3_3_3	(election)
00_00_23#4_27_27	(740)
00_00_23#9_73_73	(1608)
00_00_23#9_69_69	(vote)
00_00_23#9_65_65	(1877)
00_00_23#9_49_49	(2306)
00_00_23#9_22_22	(295)
00_00_23#9_15_15	(2428)
00_00_23#9_9_9	(695)
00_00_23#10_38_38	(vote)
00_00_23#10_35_35	(1045)
00_00_23#10_18_18	(3487)
00_00_23#10_6_6	(1798)
00_00_23#10_4_4	(election)
00_00_23#11_17_17	(4487)
00_00_23#11_3_3	(2342)
00_00_23#12_7_7	(3823)
00_00_23#12_1_1	(3118)
00_00_23#13_5_5	(-1)
00_00_23#14_36_36	(3401)
00_00_23#14_32_32	(1694)
00_00_23#14_30_30	(2953)
00_00_23#14_26_26	(227)
00_00_23#14_22_22	(1151)
00_00_23#14_14_14	(2493)
00_00_23#14_11_11	(1762)
00_00_23#14_3_3	(vote)
00_00_23#14_2_2	(1045)
00_00_23#15_5_5	(4316)
00_00_23#15_3_3	(2684)
00_00_23#17_47_47	(20)
00_00_23#17_25_25	(295)
00_00_24#1_6_6	(2686)
00_00_24#2_26_26	(election)
00_00_24#2_23_23	(1514)
00_00_24#2_12_12	(2502)
00_00_24#3_29_29	(21)
00_00_24#4_36_36	(vote)
00_00_24#4_33_33	(1680)
00_00_24#4_25_25	(election)
00_00_24#4_20_20	(1178)
00_00_24#4_4_4	(295)
00_00_24#7_31_31	(808)
00_00_24#7_26_26	(2306)
00_00_24#8_17_17	(vote)
